description,Degree,School,School2,Master_A_Etranger,Double_Diplome,Certificats,Job1,Company_job1,Job2,Company_job2,Job3,Company_job3,Company_job4,Stage1,Stage2,Stage3,Stage4,Stage5,Skills,Specialité,Entreprises,Entreprise_Ds,EntrepriseSpec
i'm electromechanical engineer who focuses on providing highly valuable industrial solutions. I interned in different enterprises with different fields of expertise to gain more experience and form a multidisciplinary profile that can be reactive to the changes in the professional environment,Project Engineer,Esprit,vide,vide,0.0,"
Training and engineering group TEGTraining and engineering group TEG
Professional Training Certificate, QHSE Management",Project Engineer,STEG International Services,Technical Sales Engineer,Eminence Energie,"
Industrialization Assistant Manager",Poly cables,,Remy International,STIR bizerte,iris environnement,vide,vide,"
Quality Management , Continuous Improvement , Risk Management , Supply Chain Management , 
Lean Manufacturing , 
Manufacturing , ISO 9000 , 
ISO 14001 , Matlab , CATIA , SolidWorks , Arduino , SAP ERP ,Production Systems , Production Management 
",Électromécanique,"STEG International Services,Eminence Energie,Poly cables,vide",steginternationalserviceseminenceenergieremyinternationalstirbizerte,STEGInternationalServicesEminenceEnergie
vide,Élève-ingénieur en Business Intelligence à la recherche d'un stage de fin d'étude,Esprit,Faculté des Sciences Economiques et de Gestion de Nabeul,vide,0.0,"FUNDAMENTALS OF DEEP LEARNING FOR COMPUTER VISION
NVIDIA",vide,,vide,,vide,,,,,vide,vide,vide,"Big Data , Exploration des données , Tableau , Python , Oracle , SQL Server Reporting Services (SSRS) ,SQL Server Integration Services (SSIS) , SQL Server Management Studio , Microsoft SQL Server ,SQL , PL/SQL , PowerBi ",ERP-BI,"vide,vide,vide,vide",,vide
vide,ingénieur Business intelligence,Esprit,vide,vide,0.0,NVIDIA DLI Certificate – Fundamentals of Deep Learning for Computer Vision,vide,,vide,,vide,,,Talan,RFC ·,vide,vide,vide,"
Informatique décisionnelle , Analytique , Exploration des données ,Apprentissage automatique ,
Planification des ressources d’entreprise (ERP) , SQL , PL/SQL ,
SQL Server Integration Services (SSIS) , 
SQL Server Reporting Services (SSRS) , Python , Hadoop , MongoDB , 
Traitement des données , 
Science des données , Talend , PowerBI , 
Extraire, transformer, charger (ETL) ,Data Warehouse , SAP ERP , 
SAP BW , 
SAP 
",ERP-BI,"vide,vide,vide,vide",talanrfc*,vide
vide,Étudiant(e) à Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,Salesforce Consultant at Cloud Sylla || Salesforce Certified ADMINISTRATOR || Trailhead 2x Ranger,Esprit,vide,vide,0.0,"ServiceMax Certified Advanced Administrator / ServiceMax Certified Administrator  / ServiceMax Certified Administrator / 
Salesforce Administrator Certification",Salesforce Consultant at Cloud Sylla,Cloud Sylla,vide,,vide,,,TuniDesign,attijari bank,vide,vide,vide,"
Administration Salesforce,
Automatisation Salesforce, Développemenr Android , Architecture logicielle , Gestion de projet , MySQL ,  JQuery , R , AngularJS , NoSQL , Oracle , Ubuntu , Linux",ArcTIC,"Cloud Sylla,vide,vide,vide",cloudsyllatunidesignattijaribank,CloudSylla
vide,Certified SOLIDWORKS Expert CSWE mechanical engineering student,Esprit,Higher Institute of Technological Studies of Rades (ISET Rades),vide,0.0,Certified SOLIDWORKS Mechanical Design Expert / Certified SOLIDWORKS PROFESSIONAL - Mold Making / Certified SOLIDWORKS PROFESSIONAL - Weldments /  Certified SOLIDWORKS PROFESSIONAL - Mechanical Design /  Certified SOLIDWORKS PROFESSIONAL - Sheet Metal / Certified SOLIDWORKS PROFESSIONAL - Surfacing / certified SOLIDWORKS PROFESSIONAL - Drawing Tools /   Certified SOLISWORKS ASSOCIATE - Mechanical Design,vide,,vide,,vide,,,SEMI Sarl,LTM - Leading Technology in Mechanics,vide,vide,vide,"
Conception assistée par ordinateur (CAO) , 
Fabrication de commandes numériques
",Électromécanique,"vide,vide,vide,vide",semisarlltmleadingtechnologyinmechanics,vide
vide,vide,vide,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
"Ever since I was a little kid, software development has been my passion. As I went through the basic tutorials, it was almost magic, being able to get the computer to do whatever I wanted, limited only by my imagination and ingenuity.
this passion carried me through my education at Esprit. here there were more resources available to me more than I could ever imagine as a kid. I studied new languages, algorithms, compilers, higher mathematics, all with the same fascination that drove me as a kid. and it was here that I learned truly how much there was yet to learn.
So, now, reaching this new chapter of my life, this passion remains with me. there's yet more to learn, yet more problems to solve, and yet more to BUILD. For this, I am very excited.",Software engineer | Digital transformation CRM | Aspiring entrepreneur | Experienced seeking full-time opportunity,Esprit,vide,vide,0.0,vide,"
Information Technology Department Manager",Solutions express QC TN,Chief Executive Officer,chilabila,vide,,,,,vide,vide,vide,"Node.js , React.js , Software Development , Angular Material , Redux.js , MongoDB , SQL , C# , JavaEE , Express.js , PHP ",TWIN,"Solutions express QC TN,chilabila,vide,vide",solutionsexpressqctnchilabila,SolutionsexpressQCTNchilabila
"he three great essentials to achieve anything worthwhile are, first, hard work; second, stick-to-itiveness; third, common sense",DataSecOps Engineer,Esprit,"
Institut Préparatoire aux Études d'Ingénieurs El Manar",vide,0.0,TOEIC / IELTS,DataSecOps Engineer,TEAMWILL CONSULTING,Co-Founder,Bug Bounty Store,Freelance Full Stack Web Developer,,Freelance Graphic Designer,Be Wireless Solutions,,vide,vide,vide,"Data Analysis , Deep Learning , Network security ,Statistics , SQL , Oracle , Python , Scikit-learn  ",Data Science,"TEAMWILL CONSULTING,Bug Bounty Store,vide,Freelance Graphic Designer",teamwillconsultingbugbountystorebewirelesssolutions,TEAMWILLCONSULTINGBugBountyStore
"Ma passion pour tous les aspects de l'ingénierie orientée données est restée forte tout au long de ma carrière de 3+ ans. 
Ingénieur junior créatif, ayant l'expérience d'utiliser les données pour créer des applications avec des fonctions interactives qui renforcent la compétitivité de l'entreprise.
Spécialisé en SAP, Big Data, Python, apprentissage automatique, analyse de données, visualisation de données, Power Bi, bases de données No SQL, ETL et Flask.",Développeur Business Intelligence,Esprit,vide,vide,0.0,Certificate of competency in Fundamentals of Deep Learning for Computer Vision NVIDIA,Business Intelligence Developer,Néopolis Corp,vide,,vide,,,RIF : Rassemblement des Ingénieurs Francophones,ETAP,vide,vide,vide,"
Informatique décisionnelle ,
Intelligence artificielle (IA) ,  Science des données ,  PowerBi , SQL ,  Analyses Big Data , Talend , SQL Server Reporting Services (SSRS) , SQL Server Analysis Services (SSAS), 
SQL Server Integration Services (SSIS) , SAP ERP , ABAP , GEstion Projet , Analyse de données , PL/SQL , MongoDB , NoSQL , Microsoft BI Suite , Talend OPen Studio , 
Extract, Transform, Load (ETL) , Flask , Jenkins , LaTeX ",ERP-BI,"Néopolis Corp,vide,vide,vide",neopoliscorprifrassemblementdesingenieursfrancophonesetap,NeopolisCorp
"ngénieur en informatique spécialisé dans le Business Intelligence aspirant à devenir un Data Architect.
Grâce à mon sens de l'aventure, ma perspicacité, mon coté sociable et ma persévérance,
j'ai pu intégrer le monde professionnel et accumuler de l’expérience à travers le Freelance et l'entreprise familiale Abeeja.
Je fais constamment preuve d'une très bonne capacité de communication (en français, en anglais et en allemand) et d'un dévouement pour atteindre les objectifs de l'entreprise.
Je serai en mesure d'accomplir mon travail, ajouter ma touche personnelle et surtout apporter une valeur ajoutée à l'équipe.
",Consultant BI | Suite MSBI et Data Visualization,Esprit,vide,vide,0.0,Microsoft Certified: Data Analyst Associate,Consultant BI,Arion Technologies,Co-propriétaire,Abeeخa,vide,,,Spark-it Group,GTEC GROUP,ProxiPharma,Infinity Management Tunisie,vide,"SQL Server Integration Services (SSIS) , Microsoft Power BI , 
Extract, Transform, Load (ETL) , Analyse de données , Data Warehouse , Modélisation des données , Informatique décisionnelle , Exploration des données , MySQL , 
Microsoft SQL Server , Bases de données , 
Microsoft Excel ,  SQL , Outils d'ETL , Talend , Reporting et création de rapports , SSAS  , Suite MSBI ,  Visualisation de données ",ERP-BI,"Arion Technologies,Abeeخa,vide,vide",ariontechnologiesabeekhasparkitgroupgtecgroup,ArionTechnologiesAbeekha
vide,vide,vide,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,vide,vide,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
"Je suis ingénieure en informatique diplômé de l'école supérieure privée d'ingénierie et de technologie ESPRIT ,je suis passionnée par la technologie et l'informatique , j’ai toujours eu recours à mon ordinateur pour surmonter les défis et faire face aux problèmes.",Ingénieur Full Stack,Esprit,vide,vide,0.0,vide,Ingénieur full stack,Avek,"
Ministère des Technologies de la Communication et de la Transformation Digitale CNI",,vide,,,,,vide,vide,vide,"JEE , JavaScript , HTML5 , PHP , Symfony , JAX-WS ,  PL/SQL ,Oracle , ASP.Net , ASP.Net MVC , JSF, Hibernate , Angular6 , AngularJS, Android , JUnit , SonarLint , jacoco",TWIN,"Avek,vide,vide,vide",avek,Avek
vide,Étudiant(e) (Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT),Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,Mobile Embedded Software Engineer,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,"AngularJS , PostdreSQL , MySQL , Developpement Android ",SIM,"vide,vide,vide,vide",,vide
"je possède des compétences informatique décisionnelle et Data mining solides et des compétences en développement informatique (.NET, PHP, SQL, Java, C#, C) mais aussi, et surtout, une bonne technique d'interprétation afin de mener à bien les projets qui me seront confiés.",Étudiante en ERP/BI ESPRIT | A la recherche d'un stage de fin d'études,Esprit,vide,vide,0.0,"nvidia certification deep learningnvidia certification deep learning
NVIDIA",vide,,vide,,vide,,,EMDEP TestBoards,STB Bank الشركة التونسية للبنك,vide,vide,vide," MySQL,  Android , JEE ,  SQL Server , MongoDB , Oracle",ERP-BI,"vide,vide,vide,vide",emdeptestboardsstbbanklshrk@ltwnsy@llbnk,vide
vide,Consultant SAP BI chez WYNSYS,Esprit,vide,vide,0.0,Nvidia deep learning institute certificate of competency,Consultant SAP BI,WYNSYS,vide,,vide,,,WYNSYS,Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT,vide,vide,vide,"Big Data , Analyse de données , PL/SQL , 
Planification des ressources d’entreprise (ERP) , 
Exploration des données ,
Extraire, transformer, charger (ETL) , 
Informatique décisionnelle , Data Warehouse , ASP.NET , JavaScript , MySQL ,  Microsoft SQL Server ,SQL Server Reporting Services (SSRS) , SQL Server Integration Services (SSIS) , NoSQL , MongoDB , Systèmes de reporting , Talend , ERP , SAP BW , ABAP",ERP-BI,"WYNSYS,vide,vide,vide",wynsyswynsysecolesuperieurepriveedingenierieetdetechnologiesesprit,WYNSYS
vide,"CEO and founder
Blue Spirit Consulting ",Esprit,"Faculté des Sciences Mathématiques, Physiques et Naturelles de Tunis",vide,0.0,vide,CEO,Blue Spirit Consulting,Coordinateur de développement de projets,MedSirat Consulting,vide,,,AIESEC,OrangeOrange,vide,vide,vide,"Java ,  JavaScriptJ , Symfony ,  MySQL",Génie Logiciel,"Blue Spirit Consulting,MedSirat Consulting,vide,vide",bluespiritconsultingmedsiratconsultingaiesecorangeorange,BlueSpiritConsultingMedSiratConsulting
vide,vide,vide,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
"Développeur Fullstack enthousiaste avec une bonne compréhension du dévéloppement. Autonome, respectueux et doué pour trouver des solutions fiables et créatives. Parlant couramment le français et l'anglais avec une ouverture d'esprit et beaucoup d'appetit pour le travail avec des équipes internationales et interculturelles.","Développeur FullStack
Yellowsys",Esprit,vide,vide,0.0,vide,Développeur Full Stack,Yellowsys,vide,,vide,,,GuestnHouse,BIAT,vide,vide,vide,"Angular , JavaScript , MySQL , PHP , Android ,MongoDB,Node.js , SQL , React.js
Django,  Linux , Oracle Database ,Hibernate , HTML , jQuery , Docker ,TypeScript , 
Développement web back-end",TWIN,"Yellowsys,vide,vide,vide",yellowsysguestnhousebiat,Yellowsys
"Un ingénieur diplômé de ESPRIT (Ecole Supérieure Privée d'Ingénierie et de Technologies ), spécialisé dans la science des données et le développement web. Actuellement à la recherche d’un CDI.","Ingénieur en informatique
QUANTEAM ",Esprit,vide,vide,0.0,"Nvidia Deep Learning Certificate
",IT Consultant,QUANTEAM,vide,,vide,,,FOCH CONSULTING,Andex,"Instructeur Data Science
Go My Code ",Mitakus analytics,KHIVA DEV,"R , Python , Java , C++ ,  Symfony , 
Microsoft SQL Server , HTML , CSS , 
JavaScript , PHP , Adobe Photoshop , C , 
C# , Java Enterprise Edition , SQL , Analyse de données , Visualisation de données , Big Data , Hadoop , Opinion mining , Node.js , Vue.js , React.js",Data Science,"QUANTEAM,vide,vide,vide",quanteamfochconsultingandex,QUANTEAM
vide,vide,vide,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
"Passionate and motivated about IT architecture, Cloud computing Environments, DevOps, infrastructure automation and system engineering.",Cloud Computing Engineer,Esprit,vide,vide,0.0,Cambridge ESOL / Cisco Certified Network Associate Routing and Switching (CCNA),Cloud computing Engineer,Sofrecom Tunisie,vide,,vide,,,OMMP (Office de la Marine Marchande et des Ports),CTN - Compagnie Tunisienne de Navigation,vide,vide,vide,"DevOps , Kubernetes , Linux System Administration , Linux , Docker Products , MySQL, AWS Lambda , Google Cloud Platform (GCP) , 
Prometheus.io , Grafana , Red Hat Linux  , Ansible , Infrastructure
 ",ArcTIC,"Sofrecom Tunisie,vide,vide,vide",sofrecomtunisieommpofficedelamarinemarchandeetdesportsctncompagnietunisiennedenavigation,SofrecomTunisie
Je suis un futur ingénieur en informatique. Je trouve un accomplissement en développant et en résolvant de vrais problèmes. J'aime beaucoup travailler en équipe car cela ruine les limites de toute expérience par le partage des idées et des connaissances.,Ingénieur informatique,Esprit,Institut préparatoire aux études d'ingénieurs d'El Manar (IPEIEM),vide,0.0,vide,vide,,vide,,vide,,,LINAGORA,Université de Valenciennes et du Hainaut-Cambrésis,vide,vide,vide,"
JavaScript , Java , PHP , 
Gestion de projet , MySQL , Angular ,symfony",TWIN,"vide,vide,vide,vide",linagorauniversitedevalenciennesetduhainautcambresis,vide
"I am a network and telecommunications engineer, very passionate about new technologies, I decided to opt for an engineering cycle in IT and cloud architecture.","Chargé d’exploitation fibre, multimédia et contenu",Esprit,New dawn university,vide,0.0,CCNA3,"senior officer, chargé d’exploitation fibre, multimedia et contenu",Orange Burkina Faso S.A,"Associé chargé des relations extérieur et Developpeur Java, Php",Digital Life's Good (DILIGO),vide,,,Orange,Nordgold,SofitexSofitex,vide,vide,"Cisco Technologies , Cloud Computing, Infrastructure , 
Routeurs Cisco , Développement de logiciel , Automatisation des tests , Sécurité dans le cloud , 
DevOps , Docker , OpenStack , Amazon Elastic Compute Cloud , Amazon RDS , Virtualisation ",ArcTIC,"Orange Burkina Faso S.A,Digital Life's Good (DILIGO),vide,vide",orangeburkinafasosadigitallifesgooddiligoorangenordgold,OrangeBurkinaFasoSADigitalLifesGoodDILIGO
vide,"Ingénieur en génie civil
 ",Esprit,vide,vide,0.0,vide,Ingénieur en génie civil,Bureau des services du batiment,vide,,vide,,,,,vide,vide,vide,"AutoCAD , Revit , Microsoft Excel , Graitec OMD",Génie Civil,"Bureau des services du batiment,vide,vide,vide",bureaudesservicesdubatiment,Bureaudesservicesdubatiment
vide,vide,vide,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,Ingénieur DevOps,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,Ghazela Technology Academy,,vide,vide,vide,"SQL , MySQL , Linux ,  SQLite , Express.js , Cisco Networking , Cloud Computing , IaaS en cloud computing , Docker , OpenStack , AWS , 
Amazon Elastic Compute Cloud , 
Déploiement de logiciel",ArcTIC,"vide,vide,vide,vide",ghazelatechnologyacademy,vide
"Ingénieur en informatique diplômé de l’École Supérieure Privée d’ingénierie et de Technologies (ESPRIT) spécialisé en développement web.
Actuellement à la recherche d'un emploi.",développeur FullStack,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,InstaDeep Ltd,InstaDeep Ltd,ESPRIT (Ecole Supérieure Privée d'Ingénierie et de Technologies),ESPRIT (Ecole Supérieure Privée d'Ingénierie et de Technologies),vide,"Golang , ASP.NET
Angular  ,  PHP , Java , JEE , JavaScript , HTML , CSS ,  jQuery , Oracle Database , MySQL , 
PhpMyAdmin , PostgreSQL , MongoDB , SQL ,WordPress , Linux , JavaServer Faces (JSF) ,Symfony , GNS3
pfSense",TWIN,"vide,vide,vide,vide",instadeepltdinstadeepltd,vide
The good life is one inspired by love and guided by knowledge .,Ingénieur Electromécanique,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,LEONI,TSK Prüfsysteme für elektrische Komponenten GmbH,EMEB,vide,vide,"Management , Gestion de l’innovation, Négociations , Gestion de projet , 
Stratégie d’entreprise , 
Planification de projets , ",Électromécanique,"vide,vide,vide,vide",leonitskprufsystemefurelektrischekomponentengmbh,vide
I am a passionate software engineer. I enjoy going through all the different steps of the software development life cycle. My preferred programming language is java and I like discovering new languages.,Software engineer,Esprit,vide,vide,0.0," Docker Essentials: A Developer Introduction  IBM / Go Java Full Stack with Spring Boot and Angular Udemy / Building Scalable Java Microservices with Spring Boot and Spring Cloud  Coursera /  MTA: Database Fundamentals - Certified 2020  Microsoft  / Version Control with Git Coursera / AngularJS Complete Course Udemy / Kotlin for Java Developers  Coursera / FUNDAMENTALS OF DEEP LEARNING FOR COMPUTER VISION  NVIDIA / Software Developement Fundamentals
Microsoft / Scrum Fundamentals Certified  SCRUMstudy - Accreditation Body for Scrum and Agile",Software engineer,estateOS GmbH,Programming Instructor,Ghazela Technology Academy,vide,,,RIF : Rassemblement des Ingénieurs Francophones,CERN,ITSFORWARD,vide,vide,"Java , TypeScript
Javascript , Développement de logiciels  , Oracle Database , UML , 
PL/SQL ,SQL , NoSQL MongoDB , MySQL , JavaScript, PostgreSQL , HTML5 , IntelliJ IDE , 
Docker , Base de données jhipsterj , JIRA ",TWIN,"estateOS GmbH,Ghazela Technology Academy,vide,vide",estateosgmbhghazelatechnologyacademyrifrassemblementdesingenieursfrancophonescern,estateOSGmbHGhazelaTechnologyAcademy
vide,Ingénieur Full,Esprit,vide,vide,0.0,vide,Ingénieur Full Stack,NearTeam,vide,,vide,,,NearTeam,,vide,vide,vide,"Java , AngularJS , PHP, MySQL , JavaScript , Linux , HTML5 , Android , SQL , jenkins ,jsf , jquery , linux , angular , Technologies web , Technologies émergentes ,Docker , PostgreSQL , azure , J2EE Application Developement , angular 9",TWIN,"NearTeam,vide,vide,vide",nearteamnearteam,NearTeam
vide,Enseignant chez Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,"Java Fx , Android , Swift , 
Framework Symfony , Git
Node.js , docker , Flutter , 
Java",TWIN,"vide,vide,vide,vide",,vide
J’ai toujours un grand désir pour les nouvelles technologies. J’adore inspirer les personnes autour de moi et être inspirée par eux aussi.,Enseignante-Formatrice chez Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT,Esprit,vide,vide,0.0,"Certificat de participation ""DevOps developer""  Clevory Training / Certificat de participation à la formation ""Programmation neuro-linguistique (PNL)""  MedSirat  /  Certificat de participation à la formation ""Soft Skills""
MedSirat  / Certificat de participation à la formation ""Formation des formateurs (La pédagogie active)""
MedSirat  /  Cisco Certified Network Associate Security (CCNA) / Diplôme d'études en langue française ( niveau B2 ) ",Enseignante-Formatrice de Framework Spring et DevOps,Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT,vide,,vide,,,Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT,SAB - éditeur de progiciels pour les banques / Software solutions for banks,Tritux,SiemensSiemens,vide,"MySQL , Oracle Database ,  Visual SVN , Gestion de projet , 
SQL , JavaScript, PHP ,  HTML5 , Android , Architecture MVC , NoSQL , .NET framework , Java Enterprise Edition , 
Framework Spring , Android Studio , Angular 7 , PHP ,
PhpMyAdmin , Langage WSDL ",Génie Logiciel,"Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT,vide,vide,vide",ecolesuperieurepriveedingenierieetdetechnologiesespritecolesuperieurepriveedingenierieetdetechnologiesespritsabediteurdeprogicielspourlesbanquessoftwaresolutionsforbanks,EcoleSuperieurePriveedIngenierieetdeTechnologiesESPRIT
vide,Étudiant à Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT,Esprit,vide,vide,0.0,Professional Scrum Master™ I (PSM I),vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
