Option,CountryOfWork,Company,TypeOfCompany,jobDate1,jobDate2,Duree,Description,skill1,skill2,skill3,skill4,skill5,Allskills,Job Rate,Monthly Salary
GL,Tunisia,Firnas Engineering,Private (non-MNC),2022-10-20 00:00:00,2022-04-17 00:00:00,186,"we need : UML , Java Enterprise Edition , MongoDB , AJAX",Java Enterprise Edition,AJAX,UML,MongoDB, ,"Java Enterprise Edition,AJAX,UML,MongoDB, ","4,5",3149
SLEAM,France,BayLibre,Private (non-MNC),2022-09-18 00:00:00,2020-03-01 00:00:00,931,"The skills are : DK Android , yii2 framework , PHP , Express.js , jQuery",DK Android,PHP,jQuery,yii2 framework,Express.js,"DK Android,PHP,jQuery,yii2 framework,Express.js",3,1295
Data Science,Tunisia,L'Oréal,Private (non-MNC),2022-03-19 00:00:00,2022-04-17 00:00:00,29,"we are looking for person with this skills  : Python , Analyses Big Data , Machine learning , Statistiques",Machine learning,Statistiques,Python,Analyses Big Data, ,"Machine learning,Statistiques,Python,Analyses Big Data, ",3,2162
ERP-BI,Tunisia,ADP,Multinational (MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"The skills are : R , Talend , IBM Cognos , Power BI",Power BI,IBM Cognos,R,Talend, ,"Power BI,IBM Cognos,R,Talend, ",2,2180
TWIN,Tunisia,Sagemcom,Multinational (MNC),2022-02-22 00:00:00,2022-04-17 00:00:00,54,"you should be competent at : Node.js , Angular/JS , mysql",Node.js,Angular/JS,mysql, , ,"Node.js,Angular/JS,mysql, , ",5,1475
TWIN,Tunisia,TPR Glass,Multinational (MNC),2022-05-21 00:00:00,2022-04-17 00:00:00,34,"The top skills in demand  : HTML , PHP , CSS , Développement front-end",Développement front-end,CSS,HTML,PHP, ,"Développement front-end,CSS,HTML,PHP, ",3,1290
Data Science,Tunisia,BIAT,Multinational (MNC),2022-02-20 00:00:00,2022-04-17 00:00:00,56,"In my academic journey i ve learned : Statistiques , R , Machine learning",Machine learning,Statistiques,R, , ,"Machine learning,Statistiques,R, , ",3,1764
INFINI,Tunisia,Faurecia Informatique Tunisie,Private (non-MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"we need : Financial Management , Communication , Financial Reporting , finance  , Cash Flow Management",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication","4,5",2682
GL,Tunisia,Blue spirit,Other,2022-09-21 00:00:00,2022-04-17 00:00:00,157,"we need : jQuery , NoSQL , .NET framework , Framework Spring , AJAX",.NET framework,AJAX,jQuery,NoSQL,Framework Spring,".NET framework,AJAX,jQuery,NoSQL,Framework Spring",3,3044
INFINI,Tunisia,Delta service electrique,Private (non-MNC),2022-01-22 00:00:00,2022-04-17 00:00:00,85,"you should be competent at : Financial Management , Financial Reporting , finance ",finance ,Financial Reporting,Financial Management, , ,"finance ,Financial Reporting,Financial Management, , ","4,5",890
INFINI,Tunisia,Esprit tech,Multinational (MNC),2022-07-18 00:00:00,2022-04-17 00:00:00,92,"you should be competent at : finance  , Cash Flow Management , Financial Reporting",finance ,Financial Reporting,Cash Flow Management, , ,"finance ,Financial Reporting,Cash Flow Management, , ",5,2207
GL,Germany,estateOS GmbH,Private (non-MNC),2022-09-20 00:00:00,2022-04-17 00:00:00,156,"we used to working with : MongoDB , PL/SQL , AJAX , NoSQL , Java Enterprise Edition",Java Enterprise Edition,AJAX,PL/SQL,NoSQL,MongoDB,"Java Enterprise Edition,AJAX,PL/SQL,NoSQL,MongoDB","4,5",2136
INFINI,Tunisia,Vermeg,Private (non-MNC),2022-10-18 00:00:00,2022-04-17 00:00:00,184,"you should be competent at : Financial Management , finance  , Communication , Cash Flow Management",finance ,Cash Flow Management,Financial Management,Communication, ,"finance ,Cash Flow Management,Financial Management,Communication, ",5,1161
TWIN,Tunisia,Dishop,Private (non-MNC),1991-09-01 00:00:00,2022-04-17 00:00:00,11186,"you should be competent at : CSS , Développement front-end , mysql , Angular/JS",Développement front-end,CSS,Angular/JS,mysql, ,"Développement front-end,CSS,Angular/JS,mysql, ",5,830
Data Science,Morocco,ALEXSYS SOLUTIONS,Multinational (MNC),2022-08-21 00:00:00,2022-04-17 00:00:00,126,"we are looking for person with this skills  : Python , Analyse de données , R , Statistiques",Analyse de données,Statistiques,Python,R, ,"Analyse de données,Statistiques,Python,R, ",5,2977
ERP-BI,Tunisia,Talan Tunisie,Multinational (MNC),2022-10-18 00:00:00,2022-04-17 00:00:00,184,"we used to working with : Talend , IBM Cognos , Power BI , Tableau Software",Power BI,IBM Cognos,Tableau Software,Talend, ,"Power BI,IBM Cognos,Tableau Software,Talend, ",3,3151
GL,Tunisia,Hays,Multinational (MNC),2022-03-19 00:00:00,2022-04-17 00:00:00,29,"we are looking for person with this skills  : NoSQL , AJAX , Java Enterprise Edition",Java Enterprise Edition,AJAX,NoSQL, , ,"Java Enterprise Edition,AJAX,NoSQL, , ",1,1551
TWIN,Other,Vneuron Risk & Compliance,Multinational (MNC),2022-03-21 00:00:00,2021-12-01 00:00:00,110,"we are looking for person with this skills  : PHP , Développement front-end , Node.js , HTML , CSS",Développement front-end,CSS,Node.js,HTML,PHP,"Développement front-end,CSS,Node.js,HTML,PHP",1,2099
NIDS,Tunisia,Sofrecom,Private (non-MNC),2022-06-20 00:00:00,2020-10-01 00:00:00,627,"The skills are : sécurité des systèmes dinformation , Fluentd , Linux",sécurité des systèmes dinformation,Fluentd,Linux, , ,"sécurité des systèmes dinformation,Fluentd,Linux, , ","4,5",808
GL,Tunisia,Vermeg,Other,2022-05-21 00:00:00,2021-08-01 00:00:00,293,"we need : AJAX , Framework Spring , Qt , jQuery",AJAX,jQuery,Framework Spring,Qt, ,"AJAX,jQuery,Framework Spring,Qt, ","4,5",984
TWIN,Germany,HSA,Private (non-MNC),2022-03-21 00:00:00,2022-04-17 00:00:00,27,"we used to working with : HTML , Node.js , PHP , CSS , J2EE Web Services",CSS,Node.js,HTML,PHP,J2EE Web Services,"CSS,Node.js,HTML,PHP,J2EE Web Services",5,1011
TWIN,Tunisia,Schneider Electric,Other,2022-10-20 00:00:00,2021-08-01 00:00:00,445,"The skills are : J2EE Web Services , CSS , Node.js",CSS,Node.js,J2EE Web Services, , ,"CSS,Node.js,J2EE Web Services, , ",5,2026
INFINI,Tunisia,Schneider Electric,Private (non-MNC),2022-11-19 00:00:00,2022-04-17 00:00:00,216,"The top skills in demand  : Financial Reporting , Financial Management , Communication",Financial Reporting,Financial Management,Communication, , ,"Financial Reporting,Financial Management,Communication, , ",3,2801
INFINI,Tunisia,Cytekia,Multinational (MNC),2022-04-19 00:00:00,2022-04-17 00:00:00,2,"The skills are : Cash Flow Management , Communication , Financial Management , finance  , Financial Reporting",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication",3,3208
NIDS,Other,Cytekia,Multinational (MNC),2022-01-20 00:00:00,2022-04-17 00:00:00,87,"The skills are : Fluentd , Test d’intrusion , Logstash , sécurité des systèmes dinformation , Linux",sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd,Linux,"sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd,Linux","4,5",2129
NIDS,Other,MADAR Consulting,Multinational (MNC),2022-07-21 00:00:00,2021-09-01 00:00:00,323,"The top skills in demand  : Fluentd , Logstash , sécurité des systèmes dinformation , Test d’intrusion , Linux",sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd,Linux,"sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd,Linux",5,3344
INFINI,Tunisia,BNP Paribas,Other,2022-03-21 00:00:00,2022-04-17 00:00:00,27,"you should be competent at : finance  , Financial Reporting , Financial Management",finance ,Financial Reporting,Financial Management, , ,"finance ,Financial Reporting,Financial Management, , ",5,2836
TWIN,Germany,Isardigital GmbH,Other,2022-08-18 00:00:00,2022-04-17 00:00:00,123,"In my academic journey i ve learned : CSS , HTML , Node.js",CSS,Node.js,HTML, , ,"CSS,Node.js,HTML, , ",3,1960
TWIN,Tunisia,Schneider Electric,Other,2022-04-21 00:00:00,2022-04-17 00:00:00,4,"we are looking for person with this skills  : J2EE Web Services , mysql , Angular/JS , HTML",HTML,Angular/JS,mysql,J2EE Web Services, ,"HTML,Angular/JS,mysql,J2EE Web Services, ","4,5",1478
SIM,Other,TUNISAIR,Other,2022-12-20 00:00:00,2022-04-17 00:00:00,247,"we are looking for person with this skills  : Altuim , Maple , flutter , Arduino",flutter,Arduino,Maple,Altuim, ,"flutter,Arduino,Maple,Altuim, ",2,1981
ERP-BI,Tunisia,Yellowsys,Multinational (MNC),2022-10-21 00:00:00,2022-04-17 00:00:00,187,"we used to working with : R , Informatique décisionnelle , Tableau Software , IBM Cognos , Power BI",Informatique décisionnelle,Power BI,IBM Cognos,Tableau Software,R,"Informatique décisionnelle,Power BI,IBM Cognos,Tableau Software,R",2,2064
TWIN,Tunisia,Schneider Electric,Private (non-MNC),2022-01-21 00:00:00,2022-04-17 00:00:00,86,"we used to working with : PHP , Node.js , mysql , CSS , HTML",CSS,Node.js,HTML,PHP,mysql,"CSS,Node.js,HTML,PHP,mysql",5,1045
ERP-BI,Tunisia,WYNSYS,Private (non-MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"The top skills in demand  : Power BI , IBM Cognos , Analyses Big Data , Informatique décisionnelle",Informatique décisionnelle,Power BI,IBM Cognos,Analyses Big Data, ,"Informatique décisionnelle,Power BI,IBM Cognos,Analyses Big Data, ",3,2022
Cloud Computing,France,"Data Service Group Inc. – Bear, DE",Private (non-MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"In my academic journey i ve learned : Virtualisation , DevOps , Infrastructure",DevOps,Infrastructure,Virtualisation, , ,"DevOps,Infrastructure,Virtualisation, , ",5,2383
INFINI,Tunisia,vermeg,Multinational (MNC),2022-05-21 00:00:00,2022-04-17 00:00:00,34,"The skills are : Communication , finance  , Financial Management , Financial Reporting",finance ,Financial Reporting,Financial Management,Communication, ,"finance ,Financial Reporting,Financial Management,Communication, ",3,1563
TWIN,Tunisia,Isardigital GmbH,Multinational (MNC),2022-05-21 00:00:00,2022-04-17 00:00:00,34,"In my academic journey i ve learned : Angular/JS , Node.js , mysql , PHP",Node.js,PHP,Angular/JS,mysql, ,"Node.js,PHP,Angular/JS,mysql, ",2,919
GL,Tunisia,BIAT,Multinational (MNC),2022-01-22 00:00:00,2022-04-17 00:00:00,85,"we need : jQuery , Java Enterprise Edition , Qt , NoSQL",Java Enterprise Edition,jQuery,NoSQL,Qt, ,"Java Enterprise Edition,jQuery,NoSQL,Qt, ",5,988
ERP-BI,Tunisia,EY,Private (non-MNC),2022-10-20 00:00:00,2022-04-17 00:00:00,186,"we are looking for person with this skills  : R , Power BI , Talend , Analyses Big Data , IBM Cognos",Power BI,IBM Cognos,R,Analyses Big Data,Talend,"Power BI,IBM Cognos,R,Analyses Big Data,Talend",3,2631
Data Science,Tunisia,Arabesque,Other,2022-01-22 00:00:00,2022-04-17 00:00:00,85,"we need : Analyse de données , R , TensorFlow , Deep learning",Deep learning,Analyse de données,TensorFlow,R, ,"Deep learning,Analyse de données,TensorFlow,R, ",3,2368
SLEAM,Tunisia,Enda Tamweel,Multinational (MNC),2022-06-21 00:00:00,2022-04-17 00:00:00,65,"we are looking for person with this skills  : PHP , DK Android , Express.js , jQuery",DK Android,PHP,jQuery,Express.js, ,"DK Android,PHP,jQuery,Express.js, ",3,2679
Data Science,Tunisia,EY,Multinational (MNC),2022-12-18 00:00:00,2022-04-17 00:00:00,245,"we used to working with : Deep learning , Python , Analyse de données , Analyses Big Data , Machine learning",Machine learning,Deep learning,Analyse de données,Python,Analyses Big Data,"Machine learning,Deep learning,Analyse de données,Python,Analyses Big Data",3,2423
TWIN,Tunisia,new Access,Multinational (MNC),2022-09-19 00:00:00,2022-04-17 00:00:00,155,"you should be competent at : Node.js , HTML , Développement front-end , CSS",Développement front-end,CSS,Node.js,HTML, ,"Développement front-end,CSS,Node.js,HTML, ",5,2115
NIDS,Tunisia,Cellenza,Private (non-MNC),2022-03-21 00:00:00,2021-12-01 00:00:00,110,"we need : sécurité des systèmes dinformation , Test d’intrusion , Fluentd , Linux",sécurité des systèmes dinformation,Test d’intrusion,Fluentd,Linux, ,"sécurité des systèmes dinformation,Test d’intrusion,Fluentd,Linux, ",1,2969
TWIN,Germany,Inheaden,Other,2022-01-21 00:00:00,2022-04-17 00:00:00,86,"we used to working with : Node.js , Développement front-end , Angular/JS",Développement front-end,Node.js,Angular/JS, , ,"Développement front-end,Node.js,Angular/JS, , ",3,2467
Cloud Computing,Tunisia,ODDO BHF,Multinational (MNC),2022-01-19 00:00:00,2019-06-01 00:00:00,963,"you should be competent at : Développement de logiciel , DevOps , Docker , Virtualisation , Automatisation des tests",DevOps,Docker,Développement de logiciel,Automatisation des tests,Virtualisation,"DevOps,Docker,Développement de logiciel,Automatisation des tests,Virtualisation",3,3244
Data Science,Other,ATS - Digital Dev,Multinational (MNC),2022-02-20 00:00:00,2022-04-17 00:00:00,56,"we need : Machine learning , R , Deep learning",Machine learning,Deep learning,R, , ,"Machine learning,Deep learning,R, , ",3,2132
Data Science,Other,AXA Investment Managers Chorus,Private (non-MNC),2022-07-19 00:00:00,2022-04-17 00:00:00,93,"we need : Machine learning , R , TensorFlow , Analyses Big Data",Machine learning,TensorFlow,R,Analyses Big Data, ,"Machine learning,TensorFlow,R,Analyses Big Data, ",3,994
TWIN,Tunisia,new Access,Other,2022-03-20 00:00:00,2022-04-17 00:00:00,28,"we used to working with : CSS , Développement front-end , J2EE Web Services , mysql",Développement front-end,CSS,mysql,J2EE Web Services, ,"Développement front-end,CSS,mysql,J2EE Web Services, ",5,2304
TWIN,Tunisia,WIMBEE,Other,2022-04-21 00:00:00,2022-04-17 00:00:00,4,"we are looking for person with this skills  : PHP , Développement front-end , HTML , mysql , J2EE Web Services",Développement front-end,HTML,PHP,mysql,J2EE Web Services,"Développement front-end,HTML,PHP,mysql,J2EE Web Services",2,1207
INFINI,Tunisia,vermeg,Private (non-MNC),2022-04-21 00:00:00,2022-04-17 00:00:00,4,"you should be competent at : Financial Reporting , Communication , Cash Flow Management",Financial Reporting,Cash Flow Management,Communication, , ,"Financial Reporting,Cash Flow Management,Communication, , ","4,5",802
TWIN,France,Wecraft,Private (non-MNC),2022-04-21 00:00:00,2022-04-17 00:00:00,4,"we need : HTML , Node.js , mysql",Node.js,HTML,mysql, , ,"Node.js,HTML,mysql, , ",3,2065
INFINI,Tunisia,vermeg,Private (non-MNC),2022-01-16 00:00:00,2016-07-01 00:00:00,2025,"In my academic journey i ve learned : Cash Flow Management , Communication , Financial Reporting",Financial Reporting,Cash Flow Management,Communication, , ,"Financial Reporting,Cash Flow Management,Communication, , ",5,2882
TWIN,Tunisia,TALYS,Multinational (MNC),2022-09-20 00:00:00,2022-04-17 00:00:00,156,"In my academic journey i ve learned : mysql , Node.js , J2EE Web Services",Node.js,mysql,J2EE Web Services, , ,"Node.js,mysql,J2EE Web Services, , ",5,2042
SLEAM,Tunisia,Tunisie Electronique,Multinational (MNC),2022-03-20 00:00:00,2022-04-17 00:00:00,28,"The top skills in demand  : jQuery , Express.js , PHP , DK Android",DK Android,PHP,jQuery,Express.js, ,"DK Android,PHP,jQuery,Express.js, ",3,2017
GL,Tunisia,SISA TUNISIE,Private (non-MNC),2022-10-20 00:00:00,2022-04-17 00:00:00,186,"we used to working with : AJAX , Qt , Maven , jQuery , MongoDB",AJAX,jQuery,Maven,MongoDB,Qt,"AJAX,jQuery,Maven,MongoDB,Qt",2,3215
INFINI,Tunisia,Esprit tech,Other,2022-09-21 00:00:00,2022-04-17 00:00:00,157,"we used to working with : Financial Management , Communication , Cash Flow Management , Financial Reporting , finance ",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication",5,2957
NIDS,Tunisia,Opt2Open,Multinational (MNC),2022-11-16 00:00:00,2021-01-01 00:00:00,684,"we are looking for person with this skills  : Fluentd , sécurité des systèmes dinformation , Linux , Logstash",sécurité des systèmes dinformation,Logstash,Fluentd,Linux, ,"sécurité des systèmes dinformation,Logstash,Fluentd,Linux, ",3,891
NIDS,Tunisia,Cytekia,Multinational (MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"In my academic journey i ve learned : sécurité des systèmes dinformation , Test d’intrusion , Linux",sécurité des systèmes dinformation,Test d’intrusion,Linux, , ,"sécurité des systèmes dinformation,Test d’intrusion,Linux, , ","4,5",1971
Data Science,Tunisia,Enda Tamweel,Other,2022-03-20 00:00:00,2022-04-17 00:00:00,28,"The skills are : Python , Analyse de données , TensorFlow , Deep learning , Statistiques",Deep learning,Analyse de données,Statistiques,Python,TensorFlow,"Deep learning,Analyse de données,Statistiques,Python,TensorFlow",3,2317
SIM,Europe,adidas,Other,2022-04-21 00:00:00,2022-04-17 00:00:00,4,"In my academic journey i ve learned : flutter , C ++ , Altuim",flutter,C ++,Altuim, , ,"flutter,C ++,Altuim, , ",3,1657
Cloud Computing,Tunisia,Sagemcom,Private (non-MNC),2022-01-18 00:00:00,2018-06-01 00:00:00,1327,"The skills are : Cloud Computing , DevOps , Développement de logiciel",DevOps,Développement de logiciel,Cloud Computing, , ,"DevOps,Développement de logiciel,Cloud Computing, , ",3,3053
TWIN,Tunisia,LINEDATA,Other,2022-04-16 00:00:00,2022-04-17 00:00:00,1,"we used to working with : PHP , Développement front-end , HTML , mysql",Développement front-end,HTML,PHP,mysql, ,"Développement front-end,HTML,PHP,mysql, ",1,1887
ERP-BI,Tunisia,Sanofi,Private (non-MNC),2022-05-21 00:00:00,2022-04-17 00:00:00,34,"you should be competent at : Informatique décisionnelle , R , Power BI , IBM Cognos , Analyses Big Data",Informatique décisionnelle,Power BI,IBM Cognos,R,Analyses Big Data,"Informatique décisionnelle,Power BI,IBM Cognos,R,Analyses Big Data","4,5",1457
ERP-BI,Europe,Telenor,Other,2022-11-21 00:00:00,2022-04-17 00:00:00,218,"The top skills in demand  : Talend , R , Informatique décisionnelle , Analyses Big Data",Informatique décisionnelle,R,Analyses Big Data,Talend, ,"Informatique décisionnelle,R,Analyses Big Data,Talend, ",5,2581
GL,Usa,Vermeg,Multinational (MNC),2022-06-19 00:00:00,2022-04-17 00:00:00,63,"we used to working with : AJAX , Qt , Java Enterprise Edition",Java Enterprise Edition,AJAX,Qt, , ,"Java Enterprise Edition,AJAX,Qt, , ",5,901
TWIN,Tunisia,Orange,Other,2022-09-20 00:00:00,2022-04-17 00:00:00,156,"we need : J2EE Web Services , mysql , PHP",PHP,mysql,J2EE Web Services, , ,"PHP,mysql,J2EE Web Services, , ","4,5",898
TWIN,France,Certeurop,Private (non-MNC),2022-02-22 00:00:00,2022-04-17 00:00:00,54,"In my academic journey i ve learned : HTML , mysql , J2EE Web Services , Node.js",Node.js,HTML,mysql,J2EE Web Services, ,"Node.js,HTML,mysql,J2EE Web Services, ",3,2878
TWIN,Tunisia,Orange,Multinational (MNC),2022-05-21 00:00:00,2022-04-17 00:00:00,34,"we used to working with : CSS , mysql , Développement front-end , Node.js",Développement front-end,CSS,Node.js,mysql, ,"Développement front-end,CSS,Node.js,mysql, ",3,2539
GL,Germany,Amadeus,Multinational (MNC),2022-07-20 00:00:00,2022-04-17 00:00:00,94,"we used to working with : Maven , Qt , MongoDB",Maven,MongoDB,Qt, , ,"Maven,MongoDB,Qt, , ",5,2533
ERP-BI,Tunisia,Tuto group,Private (non-MNC),2022-12-17 00:00:00,2022-04-17 00:00:00,244,"you should be competent at : IBM Cognos , Analyses Big Data , Talend",IBM Cognos,Analyses Big Data,Talend, , ,"IBM Cognos,Analyses Big Data,Talend, , ",3,885
Data Science,Tunisia,HLI,Other,2022-04-14 00:00:00,2022-04-17 00:00:00,3,"The top skills in demand  : Analyses Big Data , R , Machine learning",Machine learning,R,Analyses Big Data, , ,"Machine learning,R,Analyses Big Data, , ",5,1166
Cloud Computing,Tunisia,TALAN Tunisie,Private (non-MNC),2022-02-22 00:00:00,2022-04-17 00:00:00,54,"The skills are : Sécurité réseau , DevOps , Infrastructure",DevOps,Infrastructure,Sécurité réseau, , ,"DevOps,Infrastructure,Sécurité réseau, , ",5,2022
ERP-BI,France,Vneuron,Multinational (MNC),2022-11-21 00:00:00,2022-04-17 00:00:00,218,"The skills are : IBM Cognos , Tableau Software , R , Talend",IBM Cognos,Tableau Software,R,Talend, ,"IBM Cognos,Tableau Software,R,Talend, ",2,1752
GL,Tunisia,Vega groupe,Multinational (MNC),2022-03-20 00:00:00,2022-04-17 00:00:00,28,"we are looking for person with this skills  : UML , Java Enterprise Edition , .NET framework , jQuery",Java Enterprise Edition,.NET framework,jQuery,UML, ,"Java Enterprise Edition,.NET framework,jQuery,UML, ",1,3157
ERP-BI,Europe,AAA GROUPINVEST,Multinational (MNC),2022-08-21 00:00:00,2022-04-17 00:00:00,126,"we need : Analyses Big Data , Informatique décisionnelle , Tableau Software , IBM Cognos",Informatique décisionnelle,IBM Cognos,Tableau Software,Analyses Big Data, ,"Informatique décisionnelle,IBM Cognos,Tableau Software,Analyses Big Data, ",5,3211
TWIN,France,AGENA3000,Multinational (MNC),2022-04-20 00:00:00,2022-04-17 00:00:00,3,"In my academic journey i ve learned : mysql , Développement front-end , J2EE Web Services",Développement front-end,mysql,J2EE Web Services, , ,"Développement front-end,mysql,J2EE Web Services, , ",3,1062
ERP-BI,Europe,Micheal Page,Other,2022-10-20 00:00:00,2022-04-17 00:00:00,186,"we used to working with : R , Analyses Big Data , Tableau Software , Informatique décisionnelle , Power BI",Informatique décisionnelle,Power BI,Tableau Software,R,Analyses Big Data,"Informatique décisionnelle,Power BI,Tableau Software,R,Analyses Big Data","4,5",1406
TWIN,France,LineData,Private (non-MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"The top skills in demand  : J2EE Web Services , HTML , CSS , Angular/JS",CSS,HTML,Angular/JS,J2EE Web Services, ,"CSS,HTML,Angular/JS,J2EE Web Services, ",3,3084
GL,Africa,Matys Support Services,Other,2022-10-21 00:00:00,2022-04-17 00:00:00,187,"The skills are : Qt , AJAX , NoSQL",AJAX,NoSQL,Qt, , ,"AJAX,NoSQL,Qt, , ","4,5",1815
GL,Tunisia,BH Assurance,Private (non-MNC),2022-11-21 00:00:00,2022-04-17 00:00:00,218,"The top skills in demand  : Java Enterprise Edition , jQuery , MongoDB , NoSQL , AJAX",Java Enterprise Edition,AJAX,jQuery,NoSQL,MongoDB,"Java Enterprise Edition,AJAX,jQuery,NoSQL,MongoDB",3,1861
SIM,Tunisia,AWEB IT,Other,2022-12-18 00:00:00,2022-04-17 00:00:00,245,"The top skills in demand  : flutter , C ++ , Altuim , Arduino",flutter,C ++,Arduino,Altuim, ,"flutter,C ++,Arduino,Altuim, ",5,3088
